title,body,category,locality
"Bad n Boujee Promotions are seeking new team members, Come be a Boujee Babe and earn Boujee Bucks","Bad n Boujee Promotions are always looking for new people of all ages, race, and sizes to join our fast-growing team, we want to help you maximise your potential earnings, we run an extremely professional service, with supportive and experienced management and the Safety of our team members is our highest priority. Experience is not essential, however a great work ethic, reliability and a positive attitude are. So if you think you have what it takes to be a boujee babe all you need to do to apply is Send 2 or 3 photos (office use only) as well as a brief description of yourself including Stats, age and where you are located. We want you on our team. Text your photos and details to REIGN at [redacted phone number] We will contact you as soon as we receive the above info from you, for an obligation free chat and get you started assisting you in reaching your financial goals.",Promotions,"[{'label': 'Newcastle, UK', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 54.97829818725586, 'lon': -1.6177799701690674}}]"
Need a significant other/business partner?,"Are you looking to bring excitement, explosure, pleasure and more cash? I have a product for sale in the local area and now I'm looking for a sexy female or group of sexy females to help get the product more exposure…possible girls food truck and another product with a females perspective and logo choice. Serious ONLY please! Must have pics for proof and willing to start a business together with me. I'm attractive, 6ft tall, tan skin, 175lbs, athletic body and will provide pics ONLY to those who reply to this ad with pics.",Product Advertistment,"[{'label': 'Salt Lake City, UT, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 40.760799407958984, 'lon': -111.89099884033203}}]"
Hiring beautiful companions outcalls,"Hiring beautiful companions north Jersey area if you are looking for part time work on the side text [redacted phone number]. Gfe, outgoing,bubbly,conversationalist. Must be 18+ Must show ID for proof of age Must have own transportation Drama free Square cash or PayPal",Companionship,"[{'label': 'Jersey City, NJ, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 40.72809982299805, 'lon': -74.0781021118164}}, {'label': 'Newark, NJ, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 40.73569869995117, 'lon': -74.17240142822266}}]"
Ladies of Pueblo need a job,Ladies of Pueblo need a job well look no further. [redacted alias] is here and hiring ladies to do light house keeping well showing off what they have. If you want to make good money and start working today send us a good way of getting ahold of you and a few pictures. And get started making money today!!!!,House-keeping,"[{'label': 'Pueblo, CO, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 38.254398345947266, 'lon': -104.60900115966797}}]"
Go getter,"Looking for females to get money with, if you need somebody to get money with hit me up on Facebook ([redacted name]).",Partnership,"[{'label': 'Kansas City, MO, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 39.099700927734375, 'lon': -94.57859802246094}}]"
roomate female,looking for female to do housekeeping nude or other chores six 1 six 2 o four 8 two six 0,House-keeping,"[{'label': 'Grand Rapids, MI, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 42.963401794433594, 'lon': -85.66809844970703}}]"
Need a place to stay??,Got kicked out? or getting kicked out? gotta be 18 or over. we can work something out…live in the quiet suburbs of woodlawn apartment all to myself. females only respond with pic. [redacted phone number],Housing,"[{'label': 'Baltimore, MD, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 39.290401458740234, 'lon': -76.61219787597656}}]"
"We are looking for young, beautiful, motivated ladies!","Welcome! We enjoy working with ladies who are strive for the best and the most in life who want to live life in an upscale fashion! We will take your desire to succeed and bring this goal to reality, by joining the our team focusing on building you financially. We will bring you to the top level and help you gain the luxury and prestige in which leaving the world of 9-5 jobs can bring to you. Bring in serious money see the world! - What We Offer - Financially progress in a safe LEGAL way!  Professional mentoring to help you understand and dominate this industry!  Fun working trips in great locales!  Upscale places only! Work as a family and work towards something!  Top-tier financial help. Build your net worth, credit assets!  - What We Look For - Great, positive attitude must be very serious and ready to learn this industry.  An outgoing personality a desire to have the great things in life!  ** Send 3 photos of face body ( photos will not be posted ANYWHERE, these are for evaluation purposes only! ) via email: [redacted email] For quickest replies please message [redacted phone number]",Make money,"[{'label': 'Toronto, ON, Canada', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 43.6531982421875, 'lon': -79.3832015991211}}]"
Get paid 2 walk its simple,"Get paid 2 walk simple and easy. Click link download and start walking. It's not alot of $ but you can get PayPal cards etc, walking made easy thank you.... Check out this app [redacted personal website] It pays for walking",Walking,"[{'label': 'Macon, GA, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 32.8406982421875, 'lon': -83.63240051269531}}]"
any girls need apartments to do incalls?! (FREE),Hey if you interested into working let me know... i am a superintendent of a hi rise building on W72st and i have 4 apartments and 1 penthouse empty you can use them if we work a deal out,Housing,"[{'label': 'Manhattan, NY, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 40.79029846191406, 'lon': -73.95970153808594}}]"
Now Hiring Exp Bookers Too Work with Companion Models,"Hiring Booker's must have experience working with companion models answering the phone setting an appointment. A great communicator working with clients in which companion models throughout the country and some International work must have a laptop the smartphone internet access and posting advertisement. We pay 10%plus a daily bonus and a weekly bonus you can't get paid every day or on Friday at 11 a.m. Please, only your information and the strength of your experience working as a Booker this position is for the experience bookers Only.",Booker,"[{'label': 'Pittsburgh, PA, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 40.44060134887695, 'lon': -79.99590301513672}}]"
Female Seeking Another Female For Duo,"Independent ebony seeking another bi female for duo entertainment. Must be 21yrs+ Pleasant on the eyes with a great attitude. You are clean and drug free,420 and social drinking is ok. Thin or average body,your weight must be proportionate to your height. No BBW!!! If you can tavel to nearby cities on short notice and have a car A+. You are reliable,honest,considerate and,get along with others. Are you interested in making this year worthwhile earning with another female? Reply with your name and contact#,description,stats,age,include photos of yourself. Only females who are serious should respond: [redacted email address]",Partnership,"[{'label': 'North Jersey, NJ, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 40.83000183105469, 'lon': -74.0999984741211}}]"
Boudoir.lingerie photographer looking to trade services,"Hello ladies, are you in need of some sexy photos to post online? I'm an experienced photographer willing to exchange services for a free photo shoot. I have a studio and am set up for sexy boudoir photos. If interested in trading your services for mine and us both getting some beautiful shots please contact me. It'll be a fun night of photography. Send a picture of yourself and let me know what you'd like to get and we'll set a shoot up.",Photography,"[{'label': 'Oakland, CA, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 37.80440139770508, 'lon': -122.27100372314453}}, {'label': 'Oakland, CA, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 37.8406982421875, 'lon': -122.29199981689453}}]"
💰 Looking for new talent💰 (Exotic Dancing),In search of new talent for brand new company. We're looking for all new girls NO FAMILIER FACES! New fresh talent for a new fresh company! Everything professional! Please txt me your name & send pictures of full body [redacted phone number],New Venture,"[{'label': 'Visalia, CA, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 36.3302001953125, 'lon': -119.29199981689453}}]"
WANTED – Looking to work in Finance?,Are you looking for a great income? No Selling unless you want to Earnings Daily Full Training Self-employed opportunity,Finance,"[{'label': 'London, UK', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 51.511199951171875, 'lon': -0.11982399970293045}}, {'label': 'London, ON, Canada', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 42.986900329589844, 'lon': -81.24320220947266}}]"
Looking To Change Your Life Or Just Need 💵 💵 ASAP..No Exp. Needed!! [redacted phone number],"Looking for women who want or need 💵💵ASAP!!!! If You have unpaid bills, new to the area and need some guidance, looking to get out of your current situation, or you just want 💵 fast then look no further!!!! Make 500-3k A Day GUARANTEED!!!! We provide transportation, shelter, food, and treat you like a queen!! NO EXP. Neccessary, START ASAP!!!!…. YES WE EVEN TRAVEL!!!! If your ready to turn your life around please contact us with your 2 of your most recent photos, name, age, and location to [redacted phone number] or reply to AD to E-Mail -NO BAD ATTITUDES -MUST BE CLEAN AND PROFESSIONAL -MUST BE FRIENDLY -NO BS -100% Safe.. 100% Discreet -Most of all…. MUST LOVE 💰💰",Make money,"[{'label': 'Orlando, FL, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 28.538299560546875, 'lon': -81.37920379638672}}]"
"Urgent requirement for male escort for free Joining and ,earn 16k to 22k [redacted phone number]",Need good looking boys how will interested to join our club it's free Joining and earn 17kto22k so contact on whatapp [redacted phone number],Club,"[{'label': 'Indore, India', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 22.719600677490234, 'lon': 75.85769653320312}}, {'label': 'Chennai, India', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 13.052399635314941, 'lon': 80.25080108642578}}, {'label': 'Mumbai, India', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 19.076000213623047, 'lon': 72.87770080566406}}, {'label': 'Goa, India', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 15.299300193786621, 'lon': 74.1240005493164}}]"
"Top NYC Location 2000 Daily Seeking American, European and Latinas ladies","Ladies wanted with great personality and appearance. In need of extra cash? this is a lucrative legit business with more than ten years of experience. Blondes, Brunettes,Dark hair, and redheads wanted. COLLEGE girls in need of Extra money. Flexible Shifts. Ages between eighteen – thirty with good physical appearance American, European, Latinas, Asians ladies wanted You choose your schedule. Our clients are heavily screened aswell our facility is highly safe and discreet Apply today and start working immediately. Please send one Face/Body photos to : [redacted email address]  Name,Age, Nationality and some general info about yourself, then give us a call at [redacted phone number] Se habla Español",Make money,"[{'label': 'New York, NY, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 40.71440124511719, 'lon': -74.00599670410156}}]"
Looking To Change Your Life Or Just Need 💵 💵 ASAP..No Exp. Needed!! [redacted phone number],"Looking for women who want or need đľđľASAP!!!! If You have unpaid bills, new to the area and need some guidance, looking to get out of your current situation, or you just want đľ fast then look no further!!!! Make 500-3k A Day GUARANTEED!!!! We provide transportation, shelter, food, and treat you like a queen!! NO EXP. Neccessary, START ASAP!!!!…. YES WE EVEN TRAVEL!!!! If your ready to turn your life around please contact us with your 2 of your most recent photos, name, age, and location to [redacted phone number] or reply to AD to E-Mail -NO BAD ATTITUDES -MUST BE CLEAN AND PROFESSIONAL -MUST BE FRIENDLY -NO BS -100% Safe.. 100% Discreet -Most of all…. MUST LOVE đ°đ°",Make money,"[{'label': 'Orlando, FL, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 28.538299560546875, 'lon': -81.37920379638672}}]"
Looking for women for a gangbang,"I'm looking for a woman or women who would be interested in getting a room some night, inviting men over, and having a gangbang party. There is possibility of compensation but only if you're open to a variety of men. You and I will need to get together and play once or twice first too before I get men to join us. This is to ensure we are both comfortable with one another. Any age, race, or body type is welcome. You must be disease free, prior submissive experience, group experience, or other BDSM experience would be a huge plus. The kinkier the better. Reply with stats and/or pics, your level of experience, and when you are generally available.",Gangbang,"[{'label': 'Pittsburgh, PA, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 40.44060134887695, 'lon': -79.99590301513672}}]"
"I WILL ""LISTEN"" TO YOU ALL NIGHT LONG","MY NAME IS [redacted name], I WORK IN THE CORPORATE FITNESS REALM, IF YOU ARE A CURIOUS FEMALE LOOKING TO TALK AND EXPLORE, TAKING IT A STEP AT A TIME WHY THE HELL NOT? [redacted phone number]",Corporate Fitness,"[{'label': 'Dallas, TX, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 32.78010177612305, 'lon': -96.80049896240234}}]"
Looking for new hire,"Hello, looking for a friendly Asian lady for job placement. Call [redacted phone number] for job description and details. Ask for peter. Or email.",Asian job,"[{'label': 'State College, PA, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 40.79330062866211, 'lon': -77.86029815673828}}]"
Hard Porn competitive rates,Seeking Money Motivated individuals to join our team and be the next internet phenomenon must be 18 years of age to apply a US citizen please email or call [redacted phone number]. This is a real opportunity to make hard cash doing the things you love,Porn,[]
Opportunity to grow,"Looking for willing and able females of walks of life,to embark on a opportunity to grow with a new company. Can't be afraid of Cam working with a team,and willing to invest your time.",New Venture,"[{'label': 'Augusta, GA, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 33.4734992980957, 'lon': -82.010498046875}}]"
We are Hiring Women that need a new situation,Looking for a better way of life? Want a real support system? Want to learn about the Game and Life? Elevation is just one decision away. Must have ID MUST BE OVER 18 [redacted phone number],Make money,"[{'label': 'Marietta, GA, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 33.95249938964844, 'lon': -84.55000305175781}}]"
⫸⫸🏝🍍🌺 WORK 🌺🍍🏝⫷⫷ ⫸⫸🏝🍍🌺 IN 🌺🍍🏝⫷⫷ ⫸⫸🏝🍍🌺 Paradise 🌺🍍🏝⫷⫷,"MAKE up to $1,000 a day!!! Hawaii is in the center of attraction for tourist. Come to Hawaii to help spread ALOHA ! • must be able to start immediately! • Make your own schedule • major holidays off! • no experience necessary • will train • must speak fluent english! • bilingual is a plus • must be a team player • supportive group of friendly associates",Tourism,[]
[redacted name]-BJT,"BJ Trails Would you be interested in taking part in a contest to the award best blowjob in your region? This is a simple contest where you must compete against other girls to win prize money in the region of £2500 for 1st place £1500 for 2nd place & £1000 for 3rd place. All competitors must give their 10 best blowjobs for 7 minutes. Obviously, there will be breaks between each session. The blowjobs will be judged on style and technic and arousal factors that our judges will mark after each session. Its free to enter this contest and you will be competing against a number girls in the industry, who to are experienced, so you should only take part if you have a killer technic. If you wish to take part please register your interest by 10 pm 31st January 2018. We have limited spaces and can't take all competitors and are looking girls with good feedback so the sooner you register the better. You can contact me directly via the email link if you have any questions. Kindest Regards.",Contest,"[{'label': 'London, UK', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 51.511199951171875, 'lon': -0.11982399970293045}}, {'label': 'London, ON, Canada', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 42.986900329589844, 'lon': -81.24320220947266}}]"
looking for some cleaning and buffet cooked,hi I'm looking for attractive females who enjoy cleaning naked and loves cooking food. I'm looking for about 3 to 6 woman to team up and clean my home and out side in my 3 private acres. if this is something you would enjoy email me back. if you own a truck you go to top. 🗑🗑🗑🍗🥓🍕🥞🍳🍳🍽🍞🍞🍑🍑🍑🌮🌮🤠🤠🤙🤙🖖🖖🃏📞📞🛒♀♀,House-keeping,"[{'label': 'Carolina, PR, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 18.38279914855957, 'lon': -65.95780181884766}}, {'label': 'Charlotte, NC, USA', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 35.22710037231445, 'lon': -80.84310150146484}}]"
Videochat models wanted for our Iphone app,"Because of our tremendous success, we need urgent girls 18+ for our iPhone video chat application. So if you are an ambitious girl and want to make 200$ to 500$ daily and you have iPhone. Don't hesitate and contact us by mail or Whatsapp [redacted phone number]",Videochat,"[{'label': 'Dubai, UAE', 'dateBegin': None, 'dateEnd': None, 'location': {'lat': 25.271099090576172, 'lon': 55.307498931884766}}]"
